 1 1 0 0 1 1 1 1 0 0
 0 0 1 1 1 1 0 1 0 1
 1 0 0 1 0 0 0 0 0 2
 1 1 0 1 0 1 0 0 0 3
 0 1 0 1 1 1 1 0 0 4
 1 1 1 0 0 0 1 1 0 5
 0 1 1 1 1 0 1 1 0 6
 0 1 0 1 0 0 1 1 0 7
 1 0 1 0 0 1 0 1 0 8
 0 0 0 0 0 0 0 0 0 9
 1 0 1 0 1 0 1 0 0 10
 0 0 1 0 1 0 0 0 0 11
 1 1 1 1 1 1 0 0 0 12
 0 0 0 0 0 1 1 1 0 13
 1 0 0 0 1 1 0 1 1 0
 0 1 0 0 0 0 0 0 1 1
 0 0 0 0 1 1 1 0 1 2
 0 0 1 1 0 1 1 1 1 3
 1 0 0 1 1 1 1 0 1 4
 0 0 1 1 1 0 0 1 1 5
 1 0 1 1 0 0 1 0 1 6
 1 1 1 0 1 0 1 0 1 7
 1 0 0 1 0 0 1 1 1 8
 0 1 1 0 0 1 1 0 1 9
 1 1 1 0 0 1 0 1 1 10
 1 1 0 1 1 0 0 1 1 11
 0 1 1 1 0 1 0 0 1 12
 0 1 0 0 1 0 0 1 1 13
 0 1 0 1 0 0 1 1 2 0
 1 1 0 0 1 1 1 1 2 1
 0 1 1 1 1 0 1 1 2 2
 0 0 1 0 1 0 0 0 2 3
 1 1 1 0 0 0 1 1 2 4
 0 1 0 1 1 1 1 0 2 5
 1 0 1 0 0 1 0 1 2 6
 0 0 0 0 0 0 0 0 2 7
 1 1 1 1 1 1 0 0 2 8
 0 0 1 1 1 1 0 1 2 9
 1 1 0 1 0 1 0 0 2 10
 0 0 0 0 0 1 1 1 2 11
 1 0 1 0 1 0 1 0 2 12
 1 0 0 1 0 0 0 0 2 13
 0 0 1 0 1 0 0 0 3 0
 1 0 1 0 1 0 1 0 3 1
 1 0 1 0 0 1 0 1 3 2
 1 1 0 0 1 1 1 1 3 3
 0 0 0 0 0 0 0 0 3 4
 1 0 0 1 0 0 0 0 3 5
 0 1 0 1 1 1 1 0 3 6
 0 0 1 1 1 1 0 1 3 7
 0 1 1 1 1 0 1 1 3 8
 1 1 1 0 0 0 1 1 3 9
 0 1 0 1 0 0 1 1 3 10
 1 1 0 1 0 1 0 0 3 11
 0 0 0 0 0 1 1 1 3 12
 1 1 1 1 1 1 0 0 3 13
 1 0 1 1 0 0 1 0 4 0
 0 1 1 1 0 1 0 0 4 1
 1 1 0 1 1 0 0 1 4 2
 0 1 0 0 1 0 0 1 4 3
 0 0 1 1 1 0 0 1 4 4
 0 1 1 0 0 1 1 0 4 5
 1 0 0 0 1 1 0 1 4 6
 1 1 1 0 0 1 0 1 4 7
 0 1 0 0 0 0 0 0 4 8
 1 0 0 1 1 1 1 0 4 9
 0 0 0 0 1 1 1 0 4 10
 1 1 1 0 1 0 1 0 4 11
 1 0 0 1 0 0 1 1 4 12
 0 0 1 1 0 1 1 1 4 13
 0 1 1 1 0 1 0 0 5 0
 1 0 0 1 0 0 1 1 5 1
 0 1 1 0 0 1 1 0 5 2
 1 0 1 1 0 0 1 0 5 3
 1 1 1 0 0 1 0 1 5 4
 1 0 0 0 1 1 0 1 5 5
 0 1 0 0 0 0 0 0 5 6
 1 0 0 1 1 1 1 0 5 7
 0 0 0 0 1 1 1 0 5 8
 1 1 0 1 1 0 0 1 5 9
 0 0 1 1 1 0 0 1 5 10
 0 0 1 1 0 1 1 1 5 11
 0 1 0 0 1 0 0 1 5 12
 1 1 1 0 1 0 1 0 5 13

