  0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  0   1   1   2   3   4   5   6   7   8   9  10  11  12 
  0   2   2   3   4   5   6   7   8   9  10  11  12   1 
  0   3   3   4   5   6   7   8   9  10  11  12   1   2 
  0   4   4   5   6   7   8   9  10  11  12   1   2   3 
  0   5   5   6   7   8   9  10  11  12   1   2   3   4 
  0   6   6   7   8   9  10  11  12   1   2   3   4   5 
  0   7   7   8   9  10  11  12   1   2   3   4   5   6 
  0   8   8   9  10  11  12   1   2   3   4   5   6   7 
  0   9   9  10  11  12   1   2   3   4   5   6   7   8 
  0  10  10  11  12   1   2   3   4   5   6   7   8   9 
  0  11  11  12   1   2   3   4   5   6   7   8   9  10 
  0  12  12   1   2   3   4   5   6   7   8   9  10  11 
  1   0   1   1   1   1   1   1   1   1   1   1   1   1 
  1   1   2   5  10   9   3  12   0   7  11   6   8   4 
  1   2   5  10   9   3  12   0   7  11   6   8   4   2 
  1   3  10   9   3  12   0   7  11   6   8   4   2   5 
  1   4   9   3  12   0   7  11   6   8   4   2   5  10 
  1   5   3  12   0   7  11   6   8   4   2   5  10   9 
  1   6  12   0   7  11   6   8   4   2   5  10   9   3 
  1   7   0   7  11   6   8   4   2   5  10   9   3  12 
  1   8   7  11   6   8   4   2   5  10   9   3  12   0 
  1   9  11   6   8   4   2   5  10   9   3  12   0   7 
  1  10   6   8   4   2   5  10   9   3  12   0   7  11 
  1  11   8   4   2   5  10   9   3  12   0   7  11   6 
  1  12   4   2   5  10   9   3  12   0   7  11   6   8 
  2   0   2   2   2   2   2   2   2   2   2   2   2   2 
  2   1   5   3   6  11  10   4   1   0   8  12   7   9 
  2   2   3   6  11  10   4   1   0   8  12   7   9   5 
  2   3   6  11  10   4   1   0   8  12   7   9   5   3 
  2   4  11  10   4   1   0   8  12   7   9   5   3   6 
  2   5  10   4   1   0   8  12   7   9   5   3   6  11 
  2   6   4   1   0   8  12   7   9   5   3   6  11  10 
  2   7   1   0   8  12   7   9   5   3   6  11  10   4 
  2   8   0   8  12   7   9   5   3   6  11  10   4   1 
  2   9   8  12   7   9   5   3   6  11  10   4   1   0 
  2  10  12   7   9   5   3   6  11  10   4   1   0   8 
  2  11   7   9   5   3   6  11  10   4   1   0   8  12 
  2  12   9   5   3   6  11  10   4   1   0   8  12   7 
  3   0   3   3   3   3   3   3   3   3   3   3   3   3 
  3   1  10   6   4   7  12  11   5   2   0   9   1   8 
  3   2   6   4   7  12  11   5   2   0   9   1   8  10 
  3   3   4   7  12  11   5   2   0   9   1   8  10   6 
  3   4   7  12  11   5   2   0   9   1   8  10   6   4 
  3   5  12  11   5   2   0   9   1   8  10   6   4   7 
  3   6  11   5   2   0   9   1   8  10   6   4   7  12 
  3   7   5   2   0   9   1   8  10   6   4   7  12  11 
  3   8   2   0   9   1   8  10   6   4   7  12  11   5 
  3   9   0   9   1   8  10   6   4   7  12  11   5   2 
  3  10   9   1   8  10   6   4   7  12  11   5   2   0 
  3  11   1   8  10   6   4   7  12  11   5   2   0   9 
  3  12   8  10   6   4   7  12  11   5   2   0   9   1 
  4   0   4   4   4   4   4   4   4   4   4   4   4   4 
  4   1   9  11   7   5   8   1  12   6   3   0  10   2 
  4   2  11   7   5   8   1  12   6   3   0  10   2   9 
  4   3   7   5   8   1  12   6   3   0  10   2   9  11 
  4   4   5   8   1  12   6   3   0  10   2   9  11   7 
  4   5   8   1  12   6   3   0  10   2   9  11   7   5 
  4   6   1  12   6   3   0  10   2   9  11   7   5   8 
  4   7  12   6   3   0  10   2   9  11   7   5   8   1 
  4   8   6   3   0  10   2   9  11   7   5   8   1  12 
  4   9   3   0  10   2   9  11   7   5   8   1  12   6 
  4  10   0  10   2   9  11   7   5   8   1  12   6   3 
  4  11  10   2   9  11   7   5   8   1  12   6   3   0 
  4  12   2   9  11   7   5   8   1  12   6   3   0  10 
  5   0   5   5   5   5   5   5   5   5   5   5   5   5 
  5   1   3  10  12   8   6   9   2   1   7   4   0  11 
  5   2  10  12   8   6   9   2   1   7   4   0  11   3 
  5   3  12   8   6   9   2   1   7   4   0  11   3  10 
  5   4   8   6   9   2   1   7   4   0  11   3  10  12 
  5   5   6   9   2   1   7   4   0  11   3  10  12   8 
